Site,Season,Taxon,CHLA,SC
EAS,February,ALGAE,0.00,16.40
EAS,February,ALGAE,NA,16.40
EAS,February,ALGAE,0.00,16.40
CRO,February,ALGAE,0.00,39.95
CRO,February,ALGAE,0.00,39.95
CRO,February,ALGAE,0.00,39.95
HCN,February,ALGAE,0.00,76.63
HCN,February,ALGAE,0.00,76.63
HCN,February,ALGAE,0.01,76.63
FRY,February,ALGAE,0.01,349.77
FRY,February,ALGAE,0.00,349.77
FRY,February,ALGAE,0.00,349.77
HUR,February,ALGAE,0.00,292.60
HUR,February,ALGAE,NA,292.60
HUR,February,ALGAE,0.00,292.60
RUT,February,ALGAE,0.00,446.72
RUT,February,ALGAE,NA,446.72
RUT,February,ALGAE,0.00,446.72
RIC,February,ALGAE,0.00,1184.81
RIC,February,ALGAE,0.00,1184.81
RIC,February,ALGAE,0.00,1184.81
LLW,February,ALGAE,0.00,1048.91
LLW,February,ALGAE,0.00,1048.91
LLW,February,ALGAE,0.01,1048.91
LLC,February,ALGAE,0.00,1082.63
LLC,February,ALGAE,0.00,1082.63
LLC,February,ALGAE,0.00,1082.63
EAS,May,ALGAE,0.00,16.40
EAS,May,ALGAE,0.00,16.40
EAS,May,ALGAE,0.00,16.40
CRO,May,ALGAE,0.00,39.95
CRO,May,ALGAE,0.00,39.95
CRO,May,ALGAE,0.00,39.95
HCN,May,ALGAE,0.01,76.63
HCN,May,ALGAE,0.00,76.63
HCN,May,ALGAE,0.00,76.63
FRY,May,ALGAE,0.00,349.77
FRY,May,ALGAE,0.00,349.77
FRY,May,ALGAE,0.00,349.77
HUR,May,ALGAE,0.00,292.60
HUR,May,ALGAE,0.00,292.60
HUR,May,ALGAE,0.00,292.60
RUT,May,ALGAE,0.00,446.72
RUT,May,ALGAE,0.00,446.72
RUT,May,ALGAE,0.00,446.72
RIC,May,ALGAE,0.00,1184.81
RIC,May,ALGAE,0.01,1184.81
RIC,May,ALGAE,0.01,1184.81
LLW,May,ALGAE,0.01,1048.91
LLW,May,ALGAE,0.00,1048.91
LLW,May,ALGAE,0.00,1048.91
LLC,May,ALGAE,0.00,1082.63
LLC,May,ALGAE,0.00,1082.63
LLC,May,ALGAE,0.00,1082.63
EAS,August,ALGAE,0.00,16.40
EAS,August,ALGAE,0.00,16.40
EAS,August,ALGAE,0.00,16.40
CRO,August,ALGAE,0.00,39.95
CRO,August,ALGAE,0.00,39.95
CRO,August,ALGAE,0.00,39.95
HCN,August,ALGAE,0.00,76.63
HCN,August,ALGAE,0.00,76.63
HCN,August,ALGAE,0.00,76.63
FRY,August,ALGAE,0.01,349.77
FRY,August,ALGAE,0.01,349.77
FRY,August,ALGAE,0.00,349.77
HUR,August,ALGAE,0.00,292.60
HUR,August,ALGAE,0.00,292.60
HUR,August,ALGAE,0.00,292.60
RUT,August,ALGAE,0.00,446.72
RUT,August,ALGAE,0.00,446.72
RUT,August,ALGAE,0.00,446.72
RIC,August,ALGAE,0.01,1184.81
RIC,August,ALGAE,0.00,1184.81
RIC,August,ALGAE,0.01,1184.81
LLW,August,ALGAE,0.00,1048.91
LLW,August,ALGAE,0.00,1048.91
LLW,August,ALGAE,0.00,1048.91
LLC,August,ALGAE,0.01,1082.63
LLC,August,ALGAE,0.01,1082.63
LLC,August,ALGAE,0.00,1082.63
EAS,October,ALGAE,0.00,16.40
EAS,October,ALGAE,0.00,16.40
EAS,October,ALGAE,0.00,16.40
CRO,October,ALGAE,0.00,39.95
CRO,October,ALGAE,0.00,39.95
CRO,October,ALGAE,0.00,39.95
HCN,October,ALGAE,0.00,76.63
HCN,October,ALGAE,0.00,76.63
HCN,October,ALGAE,0.00,76.63
FRY,October,ALGAE,0.00,349.77
FRY,October,ALGAE,0.00,349.77
FRY,October,ALGAE,0.00,349.77
HUR,October,ALGAE,0.00,292.60
HUR,October,ALGAE,0.00,292.60
HUR,October,ALGAE,0.00,292.60
RUT,October,ALGAE,0.00,446.72
RUT,October,ALGAE,0.00,446.72
RUT,October,ALGAE,0.00,446.72
RIC,October,ALGAE,0.00,1184.81
RIC,October,ALGAE,0.01,1184.81
RIC,October,ALGAE,0.01,1184.81
LLW,October,ALGAE,0.00,1048.91
LLW,October,ALGAE,0.01,1048.91
LLW,October,ALGAE,0.00,1048.91
LLC,October,ALGAE,0.01,1082.63
LLC,October,ALGAE,0.01,1082.63
LLC,October,ALGAE,0.01,1082.63
